Unnamed: 0,Trip_ID,fare_amount,Trip_StartTime,Origin_longitude,Origin_latitude,Dest_longitude,Dest_latitude,passenger_count,Customer_ID,Driver_ID,driver_rated_for_trip,customer_rated_for_trip,Trip_cancellation,Cancelled_by,Reason,year,month,date,hour,minutes,seconds,Region
0,28165919,27.0,2015-06-30 23:40:39 UTC,-73.9847946166992,40.7514114379883,-73.9277648925781,40.7062873840332,1,C12608,D50362,4,3,0,0,0,2015,6,30,23,40,39,Tourist_Spots
1,15173476,8.5,2015-06-30 23:33:33 UTC,-73.9809875488281,40.762020111084,-73.9600830078125,40.7705307006836,1,C20815,D76086,5,4,0,0,0,2015,6,30,23,33,33,SubwayStations
2,22269752,20.0,2015-06-30 23:31:06 UTC,-73.9999618530274,40.7331352233887,-73.9624481201172,40.7730407714844,4,C39914,D48465,3,3,0,0,0,2015,6,30,23,31,6,SubwayStations
3,44430308,25.5,2015-06-30 23:16:42 UTC,-74.0010986328125,40.7309608459473,-73.9571228027344,40.8069076538086,2,C14890,D13828,5,5,0,0,0,2015,6,30,23,16,42,Restaurants
4,37789542,18.5,2015-06-30 22:57:53 UTC,-73.9717025756836,40.7822074890137,-73.9436798095703,40.8279914855957,2,C26756,D34300,4,5,0,0,0,2015,6,30,22,57,53,Sports_Arenas
5,48165790,6.0,2015-06-30 22:43:48 UTC,-73.9784774780273,40.7830505371094,-73.970085144043,40.7996139526367,5,C26748,D22175,5,5,0,0,0,2015,6,30,22,43,48,Tourist_Spots
6,2336540,6.0,2015-06-30 22:39:38 UTC,-73.9828033447266,40.7509078979492,-73.9926147460938,40.7373237609863,1,C41239,D34300,3,4,0,0,0,2015,6,30,22,39,38,Tourist_Spots
7,13023720,4.5,2015-06-30 22:27:28 UTC,-73.9841537475586,40.7490081787109,-73.9780502319336,40.7515983581543,1,C43455,D36668,4,3,0,0,0,2015,6,30,22,27,28,Restaurants
8,7476774,9.0,2015-06-30 22:09:32 UTC,-74.0053024291992,40.745792388916,-73.9809112548828,40.7307510375977,1,C26748,D48465,3,4,0,0,0,2015,6,30,22,9,32,Sports_Arenas
9,26339509,11.0,2015-06-30 21:55:11 UTC,-73.9655151367188,40.7136001586914,-73.9602355957031,40.6866149902344,1,C23982,D50362,2,5,0,0,0,2015,6,30,21,55,11,Sports_Arenas
10,22788649,8.0,2015-06-30 21:46:23 UTC,-73.9974212646485,40.7257804870605,-74.0121612548828,40.712589263916,1,C20659,D30700,3,2,0,0,0,2015,6,30,21,46,23,Tourist_Spots
11,23535251,9.5,2015-06-30 21:39:29 UTC,-73.9824676513672,40.7722663879395,-73.9767837524414,40.7903251647949,2,C19782,D14326,3,4,0,0,0,2015,6,30,21,39,29,Industrial_Zones
12,6789139,13.5,2015-06-30 21:02:16 UTC,-74.0100250244141,40.7120704650879,-73.9861221313477,40.7558135986328,4,C41429,D63151,4,5,0,0,0,2015,6,30,21,2,16,Restaurants
13,32020814,6.0,2015-06-30 20:46:20 UTC,-73.9375762939453,40.8045196533203,-73.938606262207,40.8126182556152,4,C39140,D79566,3,4,0,0,0,2015,6,30,20,46,20,Restaurants
14,20222977,7.0,2015-06-30 20:46:03 UTC,0.0,0.0,0.0,0.0,4,C49620,D48465,4,5,0,0,0,2015,6,30,20,46,3,Restaurants
15,12764580,6.0,2015-06-30 20:39:11 UTC,-73.9757232666016,40.7868919372559,-73.9660186767578,40.8039932250977,1,C51074,D69622,5,5,0,0,0,2015,6,30,20,39,11,Airport
16,41015040,8.5,2015-06-30 20:05:47 UTC,-73.9553146362305,40.8045616149902,-73.9423217773438,40.8285293579102,1,C26756,D18920,3,5,0,0,0,2015,6,30,20,5,47,Restaurants
17,41448516,4.5,2015-06-30 19:47:07 UTC,-74.0078964233399,40.7122840881348,-74.0136566162109,40.7023162841797,1,C28260,D10560,4,4,0,0,0,2015,6,30,19,47,7,Sports_Arenas
18,49946638,20.5,2015-06-30 19:38:21 UTC,-73.967887878418,40.7924156188965,-74.0037078857422,40.7324638366699,1,C14782,D61908,5,2,0,0,0,2015,6,30,19,38,21,SubwayStations
19,44063474,8.5,2015-06-30 19:34:38 UTC,-73.9979476928711,40.7259483337402,-73.9770431518555,40.733829498291,1,C50184,D78317,5,4,0,0,0,2015,6,30,19,34,38,Sports_Arenas
